Station,River Name,Station Height,Latitude,Longitude,OUTFLOW,Last Reading at,Max. Peak,INFLOW
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"63,600 (Rising Trend)",29-Nov 06 PKT,"382,700 (MEDIUM on 17-Aug)","22,000 (Steady Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"6,800 (Falling Trend)",29-Nov 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"61,297 (Rising Trend)",29-Nov 06 PKT,"464,391 (MEDIUM on 18-Aug)","67,797 (Rising Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"55,037 (Falling Trend)",29-Nov 06 PKT,"495,435 (MEDIUM on 17-Aug)","73,237 (Falling Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"47,185 (Falling Trend)",29-Nov 06 PKT,"501,312 (HIGH on 19-Aug)","53,685 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Steady Trend)",29-Nov 06 PKT,"895,740 (EX_HIGH on 27-Aug)","7,800 (Steady Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"3,200 (Falling Trend)",29-Nov 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","17,042 (Steady Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"2,909 (Rising Trend)",29-Nov 06 PKT,"703,698 (EX_HIGH on 11-Sep)","8,909 (Rising Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"29,415 (Rising Trend)",29-Nov 06 PKT,"31,915 (NORMAL on 31-Oct)","5,000 (Rising Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"43,102 (Falling Trend)",29-Nov 06 PKT,"606,489 (HIGH on 14-Sep)","50,647 (Falling Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"12,465 (Rising Trend)",29-Nov 06 PKT,"518,120 (HIGH on 16-Sep)","42,015 (Rising Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,732 (Steady Trend),29-Nov 06 PKT,"393,560 (MEDIUM on 26-Sep)","9,412 (Steady Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"29,600 (Falling Trend)",03-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","20,000 (Steady Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"6,800 (Falling Trend)",03-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"40,684 (Falling Trend)",03-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","47,184 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"50,152 (Rising Trend)",03-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","61,152 (Rising Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"45,922 (Falling Trend)",03-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","52,422 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Steady Trend)",03-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","7,207 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"2,193 (Falling Trend)",03-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","12,893 (Falling Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"15,951 (Steady Trend)",03-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","21,951 (Steady Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"29,415 (Steady Trend)",03-Dec 06 PKT,"31,915 (NORMAL on 31-Oct)","5,500 (Rising Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"49,086 (Steady Trend)",03-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","56,053 (Rising Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"13,220 (Rising Trend)",03-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","42,050 (Rising Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,983 (Rising Trend),03-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","10,078 (Rising Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"33,000 (Rising Trend)",04-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","21,300 (Rising Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,300 (Rising Trend)",04-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"32,892 (Falling Trend)",04-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","39,392 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"37,000 (Falling Trend)",04-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","33,223 (Falling Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"44,659 (Falling Trend)",04-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","51,159 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Steady Trend)",04-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","7,474 (Rising Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"3,757 (Rising Trend)",04-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","14,457 (Rising Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"11,773 (Falling Trend)",04-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","17,773 (Falling Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"33,000 (Rising Trend)",04-Dec 06 PKT,"33,000 (NORMAL Today)","4,900 (Falling Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"49,086 (Steady Trend)",04-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","56,053 (Steady Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"14,550 (Rising Trend)",04-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","43,100 (Rising Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"1,238 (Rising Trend)",04-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","10,413 (Rising Trend)"
